N,TopDown,BottomUp,6NlgN
387,13432,13868,19960.35
388,13472,13888,20020.60
389,13512,13916,20080.86
390,13552,13936,20141.15
391,13592,13960,20201.46
392,13632,13984,20261.80
393,13672,14028,20322.15
394,13712,14048,20382.53
395,13752,14072,20442.93
396,13792,14096,20503.35
397,13832,14128,20563.79
398,13872,14152,20624.26
399,13912,14180,20684.75
400,13952,14208,20745.25
401,13992,14284,20805.78
402,14032,14304,20866.34
403,14072,14328,20926.91
404,14112,14352,20987.50
405,14152,14384,21048.12
406,14192,14408,21108.76
407,14232,14436,21169.42
408,14272,14464,21230.10
409,14312,14512,21290.80
410,14352,14536,21351.52
411,14392,14564,21412.26
412,14432,14592,21473.03
413,14472,14628,21533.81
414,14512,14656,21594.62
415,14552,14688,21655.45
416,14592,14720,21716.30
417,14632,14860,21777.17
418,14672,14880,21838.06
419,14712,14904,21898.97
420,14752,14928,21959.90
421,14792,14960,22020.85
422,14832,14984,22081.82
423,14872,15012,22142.82
424,14912,15040,22203.83
425,14952,15088,22264.86
426,14992,15112,22325.92
427,15032,15140,22386.99
428,15072,15168,22448.09
429,15112,15204,22509.20
430,15152,15232,22570.34
431,15192,15264,22631.49
432,15232,15296,22692.67
433,15272,15376,22753.86
434,15312,15400,22815.08
435,15352,15428,22876.31
436,15392,15456,22937.57
437,15432,15492,22998.85
438,15472,15520,23060.14
439,15512,15552,23121.46
440,15552,15584,23182.79
441,15592,15636,23244.14
442,15632,15664,23305.52
443,15672,15696,23366.91
444,15712,15728,23428.32
445,15752,15768,23489.76
446,15792,15800,23551.21
447,15832,15836,23612.68
448,15872,15872,23674.17
449,15912,16140,23735.68
450,15952,16160,23797.21
451,15992,16184,23858.76
452,16032,16208,23920.33
453,16072,16240,23981.91
454,16112,16264,24043.52
455,16152,16292,24105.14
456,16192,16320,24166.79
457,16232,16368,24228.45
458,16272,16392,24290.13
459,16312,16420,24351.83
460,16352,16448,24413.55
461,16392,16484,24475.29
462,16432,16512,24537.05
463,16472,16544,24598.82
464,16512,16576,24660.62
465,16552,16656,24722.43
466,16592,16680,24784.26
467,16632,16708,24846.12
468,16672,16736,24907.98
469,16712,16772,24969.87
470,16752,16800,25031.78
471,16792,16832,25093.70
472,16832,16864,25155.65
473,16872,16916,25217.61
474,16912,16944,25279.59
475,16952,16976,25341.58
476,16992,17008,25403.60
477,17032,17048,25465.63
478,17072,17080,25527.69
479,17112,17116,25589.76
480,17152,17152,25651.84
481,17192,17296,25713.95
482,17232,17320,25776.08
483,17272,17348,25838.22
484,17312,17376,25900.38
485,17352,17412,25962.56
486,17392,17440,26024.75
487,17432,17472,26086.97
488,17472,17504,26149.20
489,17512,17556,26211.45
490,17552,17584,26273.72
491,17592,17616,26336.00
492,17632,17648,26398.30
493,17672,17688,26460.62
494,17712,17720,26522.96
495,17752,17756,26585.32
496,17792,17792,26647.69
497,17832,17876,26710.08
498,17872,17904,26772.49
499,17912,17936,26834.91
500,17952,17968,26897.35
501,17992,18008,26959.81
502,18032,18040,27022.29
503,18072,18076,27084.78
504,18112,18112,27147.29
505,18152,18168,27209.82
506,18192,18200,27272.37
507,18232,18236,27334.93
508,18272,18272,27397.51
509,18312,18316,27460.11
510,18352,18352,27522.72
511,18392,18392,27585.35
512,18432,18432,27648.00
