op,costCon,avgCon,costUnion,avgUnion
698,12,6.009,0,4.351
699,30,6.043,0,4.345
700,20,6.063,21,4.369
701,36,6.106,0,4.362
702,32,6.142,0,4.356
703,10,6.148,11,4.366
704,36,6.190,0,4.359
705,30,6.224,0,4.353
706,26,6.252,0,4.347
707,24,6.277,25,4.376
708,10,6.282,0,4.370
709,28,6.313,0,4.364
710,10,6.318,0,4.358
711,38,6.363,0,4.352
712,14,6.374,0,4.346
713,4,6.370,5,4.346
714,30,6.403,0,4.340
715,20,6.422,21,4.364
716,30,6.455,0,4.358
717,16,6.469,17,4.375
718,32,6.504,0,4.369
719,8,6.506,9,4.376
720,10,6.511,11,4.385
721,14,6.521,0,4.379
722,32,6.557,0,4.373
723,20,6.575,0,4.367
724,34,6.613,0,4.360
725,6,6.612,7,4.364
726,8,6.614,9,4.371
727,30,6.646,0,4.365
728,36,6.687,0,4.359
729,18,6.702,19,4.379
730,20,6.721,0,4.373
731,34,6.758,0,4.367
732,30,6.790,0,4.361
733,30,6.821,0,4.355
734,30,6.853,0,4.349
735,16,6.865,17,4.366
736,24,6.889,25,4.394
737,36,6.928,0,4.388
738,18,6.943,0,4.382
739,26,6.969,0,4.376
740,34,7.005,0,4.370
741,22,7.026,23,4.395
742,36,7.065,0,4.389
743,34,7.101,0,4.384
744,28,7.129,0,4.378
745,8,7.130,0,4.372
746,32,7.164,0,4.366
747,14,7.173,0,4.360
748,30,7.203,0,4.354
749,40,7.247,0,4.348
750,14,7.256,15,4.363
751,34,7.292,0,4.357
752,34,7.327,0,4.351
753,18,7.341,19,4.371
754,4,7.337,5,4.371
755,32,7.370,0,4.366
756,34,7.405,0,4.360
757,18,7.419,19,4.379
758,12,7.425,0,4.373
759,20,7.441,21,4.395
760,12,7.447,0,4.389
761,20,7.464,0,4.384
762,36,7.501,0,4.378
763,18,7.515,19,4.397
764,30,7.545,0,4.391
765,36,7.582,0,4.386
766,8,7.582,0,4.380
767,8,7.583,9,4.386
768,36,7.620,0,4.380
769,10,7.623,0,4.375
770,34,7.657,0,4.369
771,18,7.671,0,4.363
772,26,7.694,0,4.358
773,20,7.710,0,4.352
774,16,7.721,0,4.346
775,32,7.752,0,4.341
776,10,7.755,0,4.335
777,8,7.755,0,4.329
778,12,7.761,0,4.324
779,30,7.789,0,4.318
780,8,7.790,0,4.313
781,38,7.828,0,4.307
782,12,7.834,0,4.302
783,22,7.852,0,4.296
784,16,7.862,0,4.291
785,10,7.865,0,4.285
786,14,7.873,0,4.280
787,32,7.903,0,4.274
788,6,7.901,7,4.278
789,32,7.932,0,4.272
790,34,7.965,0,4.267
791,24,7.985,0,4.262
792,4,7.980,5,4.263
793,36,8.015,0,4.257
794,32,8.045,0,4.252
795,12,8.050,0,4.247
796,34,8.083,0,4.241
797,32,8.113,0,4.236
798,14,8.120,15,4.249
799,16,8.130,17,4.265
800,28,8.155,0,4.260
801,4,8.150,5,4.261
802,8,8.150,0,4.256
803,20,8.164,0,4.250
804,18,8.177,0,4.245
805,32,8.206,0,4.240
806,6,8.203,0,4.234
807,14,8.211,0,4.229
808,32,8.240,0,4.224
809,34,8.272,0,4.219
810,10,8.274,0,4.214
811,18,8.286,19,4.232
812,34,8.318,0,4.227
813,32,8.347,0,4.221
814,36,8.381,0,4.216
815,8,8.380,0,4.211
816,38,8.417,0,4.206
817,36,8.450,0,4.201
818,10,8.452,0,4.196
819,32,8.481,0,4.190
820,16,8.490,17,4.206
821,22,8.507,0,4.201
822,36,8.540,0,4.196
823,18,8.552,19,4.214
824,32,8.580,0,4.209
825,40,8.618,0,4.204
826,32,8.646,0,4.199
827,10,8.648,0,4.193
828,18,8.659,19,4.211
829,20,8.673,0,4.206
830,34,8.704,0,4.201
831,14,8.710,15,4.214
832,32,8.738,0,4.209
833,22,8.754,0,4.204
834,32,8.782,0,4.199
835,6,8.778,7,4.202
836,34,8.809,0,4.197
837,8,8.808,9,4.203
838,12,8.811,0,4.198
839,32,8.839,0,4.193
840,6,8.836,0,4.188
841,38,8.870,0,4.183
842,22,8.886,0,4.178
843,10,8.887,0,4.173
844,36,8.919,0,4.168
845,26,8.940,0,4.163
846,30,8.965,0,4.158
847,36,8.996,0,4.153
848,6,8.993,0,4.149
849,34,9.022,0,4.144
850,32,9.049,0,4.139
851,26,9.069,0,4.134
852,10,9.070,0,4.129
853,24,9.088,0,4.124
854,8,9.087,0,4.119
855,4,9.081,5,4.120
856,18,9.091,0,4.116
857,30,9.116,0,4.111
858,24,9.133,0,4.106
859,12,9.136,0,4.101
860,28,9.158,0,4.097
861,8,9.157,0,4.092
862,30,9.181,0,4.087
863,34,9.210,0,4.082
864,16,9.218,0,4.078
865,16,9.225,0,4.073
866,16,9.233,0,4.068
867,12,9.236,0,4.063
868,36,9.267,0,4.059
869,36,9.298,0,4.054
870,32,9.324,0,4.049
871,32,9.350,0,4.045
872,36,9.381,0,4.040
873,34,9.409,0,4.036
874,20,9.421,0,4.031
875,28,9.442,0,4.026
876,12,9.445,0,4.022
877,10,9.446,0,4.017
878,20,9.458,21,4.036
879,30,9.481,0,4.032
880,16,9.489,0,4.027
881,16,9.496,0,4.023
882,34,9.524,0,4.018
